"","x"
"515","flying glamco in a few weeks how long do we have to be at airport for before departure for both international and domestic ta"
"516","thanks"
"517","thanks it is on the same ticket"
"518","why not is it a law or a policy"
"519","is the worst nonrefundable first class tickets oh because when you select globalfc their system auto selects economy wupgrade"
"520","so i can buy tixdays before flight but cant transfer the tixflawed security logic flawed customer service"
"521","i did start a claim butweeks is unrealistic am i really supposed to go that long with out a car seat for my childridiculous"
"522","follow me please this airline is beautifull ‚ô"
"523","no i dont but im sure united have my info on its system"
"524","if the car seat is lost should just reimburse me for a new one this is not a pair of shoes its a necessity for my child"
"525","just submitted my response on the link you sent"
"526","yes david allan send an email with this numberand case"
"527","that totally sucks my cousin worked at phl said"
"528","just wanted to let you know how wonderful rosetta the gate agent was working flight dan to ase let her know she wasappreciated"
"529","yes a paper voucher that i got on january th"
"530","beginning of feb i called united they said they would send another voucher by mail never got anything"
"531","the internet is a great thingi am emailing executives in your company maybe they will respond to me in a timely manner"
"532","do i need to use a chase united club pass for my yr old son or can he come in with me on my pass"
"533","and what am i suppose to do with that number"
"534","thats weak see ya ˇëã
hey"
"535","i flew back w other company since united didnt have an earlier flight"
"536","i lost a voucher that i was given in miami aeroport on jani did not use it"
"537","i am trying to book awards for september and need flights on but they will not show even w many award seats availab"
"538","i sure didi had to drive a total ofhours to get my own bagid like to explain that debacle but no one wants to talk to me"
"539","gee thats like almost caring about ppl more thanthink im more int in having a trusted adult w daughter"
"540","see we were told repeatedly that the pilot was late flight and kept getting late flightrafter we boarded there was a defibrillator issue"
"541","why no preferred security line anymore my tsa precheck didnt pull on my partner flight"
"542","airport need to indicate different gates for terminals aampc"
"543","yes please i am newly married and trying to update my last name on a preexisting international flight it seems so easy but"
"544","how does united refuse to reissue a lost voucher when their plane didnt take off due to mechanics"
"545","also during the run i was instructed to do i shattered my computer"
"546","yes weve been with the agents for the lastminutes one of the agents have been very rude but thankfully ladan has been nice"
"547","thats right with an overnight miami"
"548","have clients with anhr layover at iah during the day will they have to claim amp recheck luggage or will it be taken care of"
"549","i am trying to find out if the loaner seat is new or used a used car seat is illegal according to safety regulations"
"550","i dmed you the details"
"551","iah to charlotte baggage claim rep latrice h non existent ignored customer then inappropriately touched customer"
"552","kewl will also let them know the overhead bin over my row was inop i love a good abbreve"
"553","thanks for your helpgot me what i need but its an issue withi guess i sit awhile longer"
